STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00; A01,25.68,TTNV = 1
2,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00; A01,25.01,TTNV = 1
3,7520216,Kỹ thuật Điều khiển và tự động hóa,A00; A01,25.4,TTNV <= 3
4,7480201,Công nghệ thông tin,A00; A01,26.59,TTNV = 1
5,7480202,An toàn thông tin,A00; A01,26.04,TTNV <= 3
6,7480101,Khoa học máy tính (định hướng Khoa học dữ liệu),A00; A01,26.55,TTNV <= 4
7,7480102,Mạng máy tính và truyền thông dữ liệu (CT Kỹ thuật dữ liệu),A00; A01,24.88,TTNV <= 3
8,7480201 _UDU,Công nghệ thông tin (định hướng ứng dụng),A00; A01,23.76,TTNV <= 4
9,7480201 _CLC,Công nghệ thông tin chất lượng cao,A00; A01,25.38,TTNV <= 2
10,7329001,Công nghệ đa phương tiện,A00; A01; D01,25.89,TTNV = 1
11,7320104,Truyền thông đa phương tiện,A00; A01; D01,26.33,TTNV = 1
12,7320101,Báo chí,A00; A01; D01,25.36,TTNV <= 4
13,7340101,Quản trị kinh doanh,A00; A01; D01,25.15,TTNV <= 6
14,7340122,Thương mại điện tử,A00; A01; D01,26.2,TTNV <= 2
15,7340115,Marketing,A00; A01; D01,25.8,TTNV <= 6
16,7340301,Kế toán,A00; A01; D01,25.05,TTNV <= 3
17,7340205,Công nghệ tài chính (Fintech),A00; A01; D01,25.35,TTNV = 1
