TT,Tên ngành,Mã ngành,Tổ hợp xét tuyển,Điểm chuẩn
1.,Kỹ thuật Điện tử viễn thông,7520207,"A00, A01",22.36
2.,"Công nghệ Kỹ thuật Điện, điện tử",7510301,"A00, A01",21.20
3.,Công nghệ thông tin,7480201,"A00, A01",28.03
4.,An toàn thông tin,7480202,"A00, A01",27.43
5.,Khoa học máy tính,7480101,"A00, A01",28.10
6.,Công nghệ đa phương tiện,7329001,"A00, A01, D01",26.77
7.,Truyền thông đa phương tiện,7320104,"A00, A01, D01",26.74
8.,Báo chí,7320101,"A00, A01, D01",25.24
9.,Quản trị kinh doanh,7340101,"A00, A01, D01",20.87
10.,Thương mại điện tử,7340122,"A00, A01, D01",26.76
11.,Marketing,7340115,"A00, A01, D01",25.69
12.,Kế toán,7340301,"A00, A01, D01",21.86
13.,Công nghệ tài chính (Fintech),7340205,"A00, A01, D01",26.47
